1    1.465594    1.000000
2    0.930223    0.500000
3    0.956180    0.666667
4    0.301975    0.500000
5    0.215681    0.400000
6    0.229989    0.333333
7    0.014615    0.285714
8    -0.029756    0.250000
9    -0.060427    0.222222
10    -0.158554    0.200000
11    -0.037918    0.181818
12    -0.133737    0.166667
13    -0.184886    0.153846
14    -0.206421    0.142857
15    -0.204793    0.133333
16    -0.156135    0.187500
17    -0.199752    0.176471
18    -0.207130    0.166667
19    -0.229202    0.157895
20    -0.227263    0.150000
21    -0.289299    0.142857
22    -0.231205    0.136364
23    -0.220450    0.130435
24    -0.232360    0.125000
25    -0.233907    0.120000
26    -0.256062    0.115385
27    -0.240615    0.111111
28    -0.263294    0.107143
29    -0.227062    0.103448
30    -0.190954    0.133333
31    -0.220901    0.129032
32    -0.238176    0.125000
33    -0.199368    0.121212
34    -0.161141    0.147059
35    -0.132519    0.142857
36    -0.157337    0.138889
37    -0.152296    0.135135
38    -0.205646    0.131579
39    -0.180954    0.128205
40    -0.172654    0.125000
41    -0.148614    0.121951
42    -0.150679    0.119048
43    -0.137204    0.116279
44    -0.146102    0.113636
45    -0.142679    0.111111
46    -0.141117    0.108696
47    -0.130159    0.106383
48    -0.127636    0.104167
49    -0.098172    0.122449
50    -0.067393    0.140000
51    -0.054134    0.137255
52    -0.066155    0.134615
53    -0.079704    0.132075
54    -0.059075    0.148148
55    -0.069047    0.145455
56    -0.080447    0.142857
57    -0.096948    0.140351
58    -0.097374    0.137931
59    -0.106037    0.135593
60    -0.103200    0.133333
61    -0.111275    0.131148
62    -0.125088    0.129032
63    -0.102061    0.126984
64    -0.106693    0.125000
65    -0.108831    0.123077
66    -0.108671    0.121212
67    -0.117609    0.119403
68    -0.151683    0.117647
69    -0.149644    0.115942
70    -0.171675    0.114286
71    -0.162199    0.112676
72    -0.152836    0.111111
73    -0.141129    0.109589
74    -0.161973    0.108108
75    -0.144209    0.106667
76    -0.155876    0.105263
77    -0.157293    0.103896
78    -0.168586    0.102564
79    -0.168915    0.101266
80    -0.163244    0.100000
81    -0.150116    0.098765
